raw,clean,labels
sebenarnya ramai sifu2 property approach aku utk join kelas investment etcemua cerita beli rumah murah dan sewakan,benar ramai sifu property approach saya untuk join kelas investment etcemua cerita beli rumah murah dan sewa,0
kalo gebetan kamu ngga pernah buang ludah di jalan pacarin,jika orang yang suka kamu enggak pernah buang ludah di jalan pacarin,-1
jangan dekat dengan aku aku tengah susah nanti aku senang aku panggil,jangan dekat dengan saya saya tengah susah nanti saya senang saya panggil,-1
yuk netweetjen dibantu,yuk netweetjen bantu,1
ya allah ya tuhanku kau lindungilah kedua ibu bapaku disaat aku berjauhan dengan mereka,iya allah iya tuhan kamu lindung dua ibu bapa saat saya jauh dengan mereka,1
lecturer aku suruh tampal note kat tempat yang aku selalu tengok takkan aku nak tampal kat muka crush pulak,lecturer saya suruh tampal note kat tempat yang saya selalu jenguk tak saya mau tampal kat muka crush pula,0
20thn aku pengen nikah umur 23 sm orang yang gini gini gini 23thn blm ada yg nglamar 24thn si,tahun saya pengin nikah umur sama orang yang begini begini begini tahun belum ada yang nglamar tahun sih,0
terdengar perbualan budak sekolah aku nk amik a level aku nk amik asasi asasi lagi ok dari matrik kan aa,dengar bual budak sekolah saya nk amik level saya nk amik asasi asasi lagi ok dari matrik kan aa,0
cara outin diri sendiri gimana sih yang bisa outin aku aku bayar deh g,cara outin diri sendiri bagaimana sih yang bisa outin saya saya bayar deh,0
giveaway karena hari ini umur aku bertambah jadi aku ingin berbagi rules aja dan ucapkan saya wish dan screenshoo,giveaway karena hari ini umur saya tambah jadi saya ingin bagi rules saja dan ucap saya wish dan screenshoo,1
selamat hari jumat buat kamu yg selalu bikin rindu ini kumat,selamat hari jumat buat kamu yang selalu buat rindu ini kumat,1
kesian belakang dengan laki lain and girl goes like mesti dia tak bagi attention sampai gf dia buat camtuh men are t,kasihan belakang dengan laki lain dan girl goes like mesti dia tidak bagi attention sampai gf dia buat camtuh men are,-1
diremes di enyot ngedusel dusel di nenen kamu wah mantap,diremes di enyot ngedusel dusel di nenen kamu wah mantap,1
mana gampaang aku nanya dulu tauu,mana gampaang saya tanya dulu tau,0
idm hallo ami tolobg bantu ya huhu ini aku masalah album ku yg ga sampe sampe,idm halo ami tolobg bantu iya huhu ini saya masalah album ku yang enggak sampai sampai,-1
takde gf pun takpe imaginary gf pun also can lepastu lama lama aku jadi gila sekian,takde gf pun takpe imaginary gf pun also belum lepastu lama lama saya jadi gila sekian,-1
hi rakyat2 ku karena akhirnyauga postelca aku mau give away album love yourself answerealed versionnya pilihendiri e,hai rakyat ku karena akhirnyauga postelca saya mau give away album love yourself answerealed versionnya pilihendiri,1
makan tido makan tido hari ni aku mereput je la kat rumah hadap diorang ni haih,makan tido makan tido hari ini saya reput je lah kat rumah hadap orang ini haih,0
10 tahun jadi bestfriend but gaduh sikit sampai 7 bulan tak tegur malam tadi aku koyak sikit pastu post gambar dia tetib,tahun jadi bestfriend but gaduh sikit sampai bulan tidak tegur malam tadi saya koyak sikit pastu post gambar dia tetib,-1
threado as promised aku nk citer pengalaman aku ambik teh kurus pil kurus it was 2013 2014 mcm tuince everyone was s,threado as promised saya nk citer alam saya ambik kakak perempuan kurus pil kurus itu was macam tuince everyone was,0
makanya tadi aku kaget lihat teman kabar nya udah menikah dalam hati kamu kapan taarufnya kok sampai ga tercium kabarnya,makanya tadi saya kaget lihat teman kabar nya sudah meni dalam hati kamu kapan taaruf kok sampai enggak cium kabar,0
pacar kamu sibuk ya kok tumben komen wassap story aku,pacar kamu sibuk iya kok tumben komen whatsapp apa story saya,-1
kucin datang bawah meja mintak makanan kau bagi lah apa yang ada jangan sepak2 pulak dia tak datang seekor dia datang ber,kucin datang bawah meja mintak makan kamu bagi lah apa yang ada jangan sepak pula dia tidak datang ekor dia datang ber,-1
lepaskanlah dia tidak mau kamuadarlah jangan membatu,lepas dia tidak mau kamuadarlah jangan batu,-1
tolong sebelum kau nak kacau orang yg aku sayang kau fikir dulu mcm mana perasaan kau bila ada orang kacau buah hati kau,tolong belum kamu mau kacau orang yang saya sayang kamu fikir dulu macam mana asa kamu bila ada orang kacau buah hati kamu,-1
biasalah tu perempuan kena berjaga jaga muka malaikat pun kadang2 perangai syaitan jugak aku pernah gak camni lari laju teruk,biasa itu perempuan kena jaga jaga muka malaikat pun kadang perangai syaitan juga saya pernah enggak camni lari laju teruk,-1
pilih salah satu yang paling kamu nyaman,pilih salah satu yang paling kamu nyaman,1
aku sendiri jugaaa yuk barengan,saya sendiri juga yuk bareng,1
aku benci soalan bala dgn amelia dh la takde duit nk pinjam pinjam lak cb tul pastu aku lak aku kena kire,saya benci soal bala dengan amelia deh lah takde duit nk pinjam pinjam lak coba tul pastu saya lak saya kena kire,-1
aku juga dong mbaknya link kalo jepang main,saya juga dong mbak link jika jepang main,0
24 8 18 birthday abang aku dia ajak pergi makan aku tolak sebab kerja balik lambat nak ot 26 8 18 dia ajak per,birthday abang saya dia ajak pergi makan saya tolak sebab kerja balik lambat mau ot dia ajak per,-1
mini giveaway berhubung aku ultah aku mau bagi rezeki pulsa 10k like aja mau mutualan boleh bgt doain aku yaa diundi j,mini giveaway hubung saya ultah saya mau bagi rezeki pulsa like saja mau mutualan boleh banget doain saya ya undi,1
mantan kamu yang brengsek itu jangan dilupain justru dijadikan pengingat bahwa kamu pernah salah pilih dan dibego bego,mantan kamu yang brengsek itu jangan dilupain justru jadi ingat bahwa kamu pernah salah pilih dan bego bodoh,1
aryana tolong bukak mata besar besar pilihlah syafiq biarlah sofea bahagia bersama adrian pls laaaaaaaa murungnya aku kal,aryana tolong buka mata besar besar pilih syafiq biar sofea bahagia sama adrian tolong lah murung saya kal,1
hyung kamu kanibal kan ' ',kakak kamu kanibal kan,0
buatlah cita cita kamu setinggi bintang di langit tetapi jangan lupa untuk membuat anak tangga perencanaannya cendekiabijak,buat cita cita kamu setinggi bintang di langit tetapi jangan lupa untuk buat anak tangga rencana cendekiabijak,1
kamu ga laku laku unn,kamu enggak laku laku unn,-1
aku try untuk lupakan benda tu tapi akhirnya benda tu buat aku jadi down ya allah tlg laa hilangkan kekecewaan yg ada,saya try untuk lupa benda itu tapi akhir benda itu buat saya jadi down iya allah tolong lah hilang kecewa yang ada,-1
jajanin aku kak,jajanin saya kak,0
iyaaaa kasian donghae nya aku kelelep,iya kasihan donghae nya saya lelep,-1
ini tiga aku satu aja gapunya ',ini tiga saya satu saja enggak punya,0
hi semuanya aku adain give away nih give away nya album bts yg love yourself answers yey cukup follow dan retwee,hai semua saya ada give away ini give away nya album bts yang love yourself answers yey cukup follow dan retwee,0
cantik boleh la confess kat crush peluang kena reject tu senipis sel epidermis bawang je tang aku ni kalau confess hmm,cantik boleh lah confe kat crush peluang kena reject itu nipis sel epidermis bawang je tang saya ini kalau confe hmm,1
aku di rumah aja' adalah anagram dari 'besok malam minggu',saya di rumah saja adalah anagram dari besok malam minggu,0
jumat malam bersama 2 kawan di dalam mobil menuju sebwah apartemen diurabaya barat b gaes sorry ya aku dan a k,jumat malam sama kawan di dalam mobil tuju sebwah apartemen diurabaya barat guys maaf iya saya dan,0
aku juga pernah dah kek gitu 2x gaada hasil percumaa,saya juga pernah deh kayak begitu enggak ada hasil percumaa,-1
ku kira aku introvert ternyata karna nga punya uang aja jadi males ke mana mana,ku kira saya introveternyata karena enggak punya uang saja jadi malas ke mana mana,-1
cnta kmu ke aku tuh kyk fto albm tau g dbalk2 ttp aj g brbh sma ky km yg g prnh brbh untk mnjdi yg trbaik untk aku,cnta kamu ke saya itu kayak foto albm tahu dbalk tetap saja brbh sama kaya kamu yang pernah brbh untuk jadi yang baik untuk saya,1
ini yang buat aku semakin yakin indonesia akan damai jika di pimpin beliau,ini yang buat saya makin yakin indonesia akan damai jika di pimpin beliau,1
aku fakap betul kalau nak pergi makan ramai2 nak happy2 tetibe ada yang badmood woiiii nak makan je woiii,saya fakap betul kalau mau pergi makan ramai mau bahagia tetibe ada yang badmood woi mau makan je woi,-1
kalau awek kamu bising nothing is wrong once awek kamu dah senyap everything is wrong perhaps dia dah ada someone yg,kalau awek kamu bising nothing is wrong once awek kamu deh senyap everything is wrong perhaps dia deh ada someone yang,-1
pernah dan abis itu aku ga berani bawa motor selama beberapa hari dan pas mau bawa motor lagi gemeteran gitu,pernah dan habis itu saya enggak berani bawa motor lama beberapa hari dan pas mau bawa motor lagi gemeteran begitu,-1
aku nk walk in ajelah senang,saya nk walk ini ajelah senang,1
jadilah seperti aku,jadi seperti saya,1
sentiasa ingatkan diri jangan selalu tunjukkan kegembiraan depan orang yang sedang kecewa moga aku sentiasa ingat,sentiasa ingat diri jangan selalu tunjuk gembira depan orang yang sedang kecewa moga saya sentiasa ingat,1
aku nang kampus untuk ngopi ketemu wong2 podo kabeh takok e lapo mengubah sosyeti a,saya nang kampus untuk ngopi ketemu wong podo kabeh takok lapo ubah sosyeti,0
gipewei lagi sedih nih aku seokjin rt fllw rep pict seokjin tag klo mau doain aku juga gpp ga juga gpp,gipewei lagi sedih ini saya seokjin fllw rep pict seokjin tag kalo mau doain saya juga enggak apa enggak juga enggak apa,-1
temen temen yg ada di jatinangor dan sekitarnya bisa tolong dibeli ya jualan bapak ini beliau jual kain lap keset dsb,teman teman yang ada di jatinangor dan sekitar bisa tolong beli iya jual bapak ini beliau jual kain lap keset dsb,1
hahaa aku juga ga ngerti tadi tp asal jwb aja,hahaa saya juga enggak erti tadi tapi asal jawab saja,1
kelak jika aku menjadi orangtua yang akan kulakukan adalah meyakinkan anakku nak percaya sama ayah tidur siang itu men,kelak jika saya jadi orangtua yang akan laku adalah yakin anak mau percaya sama ayah tidur siang itu men,1
yang apa kamu mengabulkan doa ku untuk klosdonecepatnya okey kalo itu mau kamu,yang apa kamu kabul doa ku untuk klosdonecepatnya okey jika itu mau kamu,-1
aku terhibur hahahahahahahahahahahaha,saya hibur hahahahahahahahahahahaha,1
kamu juga kan,kamu juga kan,0
x de adab betul budak ni pinjam buku aku,dek adab betul budak ini pinjam buku saya,0
okay but the bahasa melayu names for our malaysian birds selalu buat aku mudah terhibur contohnya burung berek ber,okay but the bahasa melayu names untuk our malaysian birds selalu buat saya mudah hibur contoh burung rek ber,1
makin lama rasa apebende laa aku melalut ni i better stop,makin lama rasa apebende lah saya melalut ini better stop,-1
iya lucu emang dia aku temenan di ig,iya lucu memang dia saya teman di ig,1
dear makhluk hidup disekitarku kalo mau tau tanyain lgsung ke aku aja gausah lewat orang lain lumayan kan gak,dear makhluk hidup sekitar jika mau tahu tanya langsung ke saya saja enggak usah lewat orang lain lumayan kan enggak,-1
member aku ade cite kat aku yang dibreak up dgn gf die time dia cerita suddenly dia menangis weyh 5 tahun bersama kot,member saya adek cite kat saya yang dibreak up dengan gf die time dia cerita suddenly dia menang weyh tahun sama kot,-1
hati aku kecewa aku sedih aku aku sorang je tahu orang lain tak tahu,hati saya kecewa saya sedih saya saya sorang je tahu orang lain tidak tahu,-1
kenapa popular weh sorry aku blur x paham mksd hg,kenapa popular weh maaf saya blur paham maksud hg,0
lhaa kaann ancene aku arek e kurang pinter wayah e aku koncoan terus yaa ambk arek e sopo ngerti kecipratan rejeki,lhaa kaann ancene saya arek kurang pintar wayah saya konco terus ya ambk arek sopo erti ciprat rezeki,1
give away time untuk merayakan ulang tahun namjoon dan ulang tahun aku aku adain give away photocard dan juga album lov,give away time untuk raya ulang tahun namjoon dan ulang tahun saya saya ada give away photocard dan juga album lov,1
broimak video ini ribka tjiptaning penulis buku aku bangga jadi anak pki dia setuju pki harus tetap ada yang pasti d,broimak video ini ribka tjiptaning tulis buku saya bangga jadi anak partai komunis indonesia dia tuju partai komunis indonesia harus tetap ada yang pasti,0
kak mau jugaa,kak mau juga,1
mau mandi diceramahin dulu sama nyonya besar intinya sama tobat kamu abis iniiap komandan,mau mandi diceramahin dulu sama nyonya besar inti sama tobat kamu habis iniiap komandan,0
kepada para suami aku nasihatkan jangan forward gambar ni kepada isteri aku baru forward tadi,kepada para suami saya nasihat jangan forward gambar ini kepada isteri saya baru forward tadi,-1
aku tak faham betul lelaki tak suka perempuan pakai makeup,saya tidak faham betul lelaki tidak suka perempuan pakai makeup,-1
wasyuu,wasyuu,-1
kamu adalah yang ia inginkan untuk menjadi tempat persinggahan terakhirebesar itu harapannya kepadamu jangan mengecew,kamu adalah yang ia ingin untuk jadi tempat singgah terakhirebesar itu harap kepada jangan mengecew,1
aku dulu lahir di jogja jogja dijuluki kota berhati nyaman pantes aja aku langsung pake hati kalo udah nyaman dikit,saya dulu lahir di jogja jogja juluk kota hati nyaman pantas saja saya langsung pakai hati jika sudah nyaman dikit,1
guys aku jumpa ayat yang berguna untuk digunakan time korang tengah putus asa sabar terbahagi kepada dua iaitu sabar,teman saya jumpa ayat yang guna untuk guna time korang tengah putus asa sabar terbahagi kepada dua iaitu sabar,1
ada penjual suruh tebuk lubang kecik ja tahan lebih 30 hari aku dh nk dekat 3 bulan x hb,ada jual suruh tebuk lubang kecil saja tahan lebih hari saya deh nk dekat bulan hb,0
kepada fresh grad yg tgh cari kerja boleh try amalkan zikir dan semua doa ni alhamdulillah lepas amalkan ni aku pon dpt,kepada fresh grad yang tgh cari kerja boleh try amal zikir dan semua doa ini alhamdulillah lepas amal ini saya pon dapat,1
at least datang balik minta maaf okay lah daripada hilang dari radar tinggal aku tanpa pesan kau ingat senang ke nak stick to,at least datang balik minta maaf okay lah daripada hilang dari radar tinggal saya tanpa pesan kamu ingat senang ke mau stick tapi,-1
macam mana nak tidur kalau still fikirkan orang yang kita sayang okay ke tak tu tidurnya lena ke dia perlukan aku tak ka,macam mana mau tidur kalau masih fikirkan orang yang kita sayang okay ke tidak itu tidur lena ke dia perlu saya tidak kak,-1
kengkawan lama suka cari aku bila nak translate bahasa jawa hahah ingat lagi aku ni anak jawa,kengkawan lama suka cari saya bila mau translate bahasa jawa hahah ingat lagi saya ini anak jawa,0
kalau akhlak mereka lebih baik kenapa engga kalau mereka lebih bisa menghargai melindun,kalau akhlak mereka lebih baik kenapa enggak kalau mereka lebih bisa harga melindun,1
karena aku kepo 11 13 20,karena saya mau tahu urus orang,0
aku betul betul nak mintak bantuan korangemua untuk cari haji loqman bin haji azli ni mugkin korang tak kenal tapi mugkin,saya betul betul mau mintak bantu korangemua untuk cari haji loqman bin haji azli ini mugkin korang tidak kenal tapi mugkin,-1
her miss kan taman safari jauh yo di pasuruan aku males nganterno andrew kesana kalo taman safarinya tak undang ke ru,her mi kan taman safari jauh ya di pasuruan saya malas nganterno andrew kesana jika taman safari tidak undang ke baru,-1
berarti aku bener dong jawab cowok dapet 2jt nggak nih,arti saya benar dong jawab cowok dapat juta enggak ini,0
tls followan ama aku yukk rep rt kita temenan,tulis followan sama saya yuk rep kita teman,0
14 modal nomad 15 ribuan dan sekotak popcorn modus mesum dilancarkan pertama tama kamu merasa aneh lama lama kamu izinkan maksiat,modal nomad ribu dan kotak popcorn modus mesum lancar pertama tama kamu rasa aneh lama lama kamu izin maksiat,-1
terkadang allah kasih tahu kalau sesuatu itu bukan buat kamu dengan cara yg menyakitkan,terkadang allah kasih tahu kalau sesuatu itu bukan buat kamu dengan cara yang sakit,-1
back then in school cikgu semua macam eh jangan bercinta sekarang nanti kat uni lagi handsome handsome kamu jumpa now i,back then ini sekolah cikgu semua macam eh jangan cinta sekarang nanti kat uni lagi handsome handsome kamu jumpa now,-1
masih ingat lagi tak macam mana mula mula kita kenal dulu awal nya aku tertawa dan akhirnya aku menangis,masih ingat lagi tidak macam mana mula mula kita kenal dulu awal nya saya tertawa dan akhir saya menang,-1
kalau tak bersungguh nak jaga aku boleh je berhenti berpura2 aku boleh jaga diri aku tanpa memaksa kau kau tak perl,kalau tidak sungguh mau jaga saya boleh je henti pura saya boleh jaga diri saya tanpa paksa kamu kamu tidak perl,-1
iya hubungin aku aja ya butuh dosa berapa banyak lagi wkwk,iya hubungin saya saja iya butuh dosa berapa banyak lagi wkwk,-1
buat dong aku kan juga istrinya daniel,buat dong saya kan juga istri daniel,1
kalau mahal service bagus takpe ini streamyx aku kat rumah pun barai,kalau mahal service bagus takpe ini streamyx saya kat rumah pun barai,-1
hihihihi look at the face lepaskan aku taknak kau bau ikan bagi aku mandikan dulu namau nameow catsoftwit,hihihihi look at the face lepas saya tidak mau kamu bau ikan bagi saya mandi dulu namau nameow catsoftwit,1
sejauh aku berjalan sampai dahlia baru perasan tertinggal labcoat kat dinamik sobss,jauh saya jalan sampai dahlia baru peras tinggal labcoat kat dinamik sob,-1
antra bebanyak pondan kt malaysia ni aku rasa viviana ni y bila bercakap ada content ive never thought y komuniti ki,antra bebanyak pondan kita malaysia ini saya rasa viviana ini bila cakap ada content ive never thought komuniti ki,0
lepas tengok movie onetwojaga teringat pulak time intern dulu kerja dengan contractor sebagai quantityurvey juruuk,lepas jenguk movie onetwojaga ingat pula time intern dulu kerja dengan contractor bagai quantityurvey juruuk,0
ada yang bertahan karena sayang ada juga karena terpaksa menurut kamu kapel kamu yang mana,ada yang tahan karena sayang ada juga karena paksa turut kamu kapel kamu yang mana,0
guys today aku nak rekomen kat korang movie2 yg best some of you maybe blm pernah tengok movie tu lagi aku tak berapa pa,teman today saya mau rekomen kat korang movie yang best some of you maybe belum pernah jenguk movie itu lagi saya tidak berapa apa,1
sudah waktunya aku mulai menjalani hidupku sendiri mello death note,sudah waktu saya mulai jalan hidup sendiri mello death note,-1
so aku pergi klinik sebab muntah tengok carta organisasi dia buatkan aku nak tergelak apa ni wei,sok saya pergi klinik sebab muntah jenguk carta organisasi dia buat saya mau gelak apa ini wei,0
nampak la org lain semua dp gambar kawen dengan husband aku je dp gambar ambik sendiri,tampak lah orang lain semua dp gambar kawen dengan husband saya je dp gambar ambik sendiri,-1
ya allah pengen ngakak goler2 aku sama trit iniiii,iya allah pengin akak goler saya sama trit ini,0
tolong la harini je dah banyak sangat ketawa krem perut aku yall,tolong lah harini je deh banyak sangat ketawa krem perut saya yall,1
i dont know lah nak kata macam mana sekarangebab aku sorang yang rasa sakit so orang lain dont judge me,dont know lah mau kata macam mana sekarangebab saya sorang yang rasa sakit sok orang lain dont judge me,-1
mu gemes banget adminnya aku ga jadi marah,mu gemas banget adminnya saya enggak jadi marah,-1
pastu kan perangai dia still babi lagi nampak sangat taknak aku kahwin biasa biasa,pastu kan perangai dia masih babi lagi tampak sangat tidak mau saya kahwin biasa biasa,0
siang happy friday sholat jum'at nya jangan lupa ya aku habis ada kegiatan terus nanti ada latihan bareng team j s,siang bahagia friday sholat jum at nya jangan lupa iya saya habis ada giat terus nanti ada latih bareng team,0
kawan aku bagi tips dietebab masa cuti dia just makan nie utk diet and bila naik sem hari tu dia dah kurus giler ka,kawan saya bagi tips dietebab masa cuti dia just makan ini untuk diet dan bila naik sem hari itu dia deh kurus giler kak,0
gt tuhan yesus berkata 'aku dapat menggantikan rasa frustasi di hatimu dengan damai sejahtera mbml,begitu tuhan yesus kata saya dapat ganti rasa frustasi di hati dengan damai sejahtera mbml,1
aku doakan lelaki yang tengah kerja cari duit untuk pasangan masing masing diberikan kesihatan dan dimurahkan rezekiemo,saya doa lelaki yang tengah kerja cari duit untuk pasang masing masing beri kesihatan dan murah rezekiemo,1
bisaan aja kamu naruto padahal emang pengen nyium tp mukaku yg disalahin gt lt,bisa saja kamu naruto padahal memang pengin nyium tapi muka yang disalahin begitu lantai,-1
keluar airmata jantan aku baca,keluar airmata jantan saya baca,-1
siapa dapat first impression macam niumpah aku ingat kau dulu sombong gila orang pun cakap kau macam sombong aku p,siapa dapat first impre ion macam niumpah saya ingat kamu dulu sombong gila orang pun cakap kamu macam sombong saya,-1
aku tadi nge rt wah wah wah,saya tadi nge wah wah wah,0
wah pas nonton berita ada yang dilamar pas wisuda jadi ingin aku tuh tapi yang nak melamar pon siape,wah pas tonton berita ada yang lamar pas wisuda jadi ingin saya itu tapi yang mau lamar pon siape,-1
sebenarnya takde ciri pun bila dah sayang someone tu dia gelap pun kita suka dia putih pun kita suka dia tak hensem pu,benar takde ciri pun bila deh sayang someone itu dia gelap pun kita suka dia putih pun kita suka dia tidak hensem punya,0
antara ayat penipuan paling besar 1 jap tengah siap 2 otw 3 tak study pun 4 takda kredit lah 5 pakai duit ka,antara ayat tipu paling besar jap tengah siap tuju tidak study pun takda kredit lah pakai duit kak,0
izinkan aku mengupload ini,izin saya mengupload ini,0
aku merasa seperti aku tidak bisa melakukan apapun tanpa elfungmin,saya rasa seperti saya tidak bisa laku apa tanpa elfungmin,-1
dalam instagram facebok twitter cantik depan depan takde la cantik mana bagitahu akuekarangiapa je yang nak upl,dalam instagram facebok twitter cantik depan depan takde lah cantik mana bagitahu akuekarangiapa je yang mau upl,-1
bersyukurlah hingga kamu lupa rasanya kekurangan tulisanirin jumatberkah,syukur hingga kamu lupa rasa kurang tulisanirin jumatberkah,1
segitu kangennya ya mba sama aku,segitu kangen iya mbak sama saya,1
kamu jangan lupa sholat dzuhurnya,kamu jangan lupa sholat dzuhurnya,0
life skang aku simplekan je aku tak suka aku tak layan itu je penat nk jaga hati org je pikir diri sendiri dlu,life skang saya simplekan je saya tidak suka saya tidak layan itu je penat nk jaga hati orang je pikir diri sendiri dulu,0
bayangkan kalau posisi kamu lg di bwah dan orng lain melihat kita rendah karna materi yang kita punya,bayang kalau posisi kamu lagi di bwah dan orang lain lihat kita rendah karena materi yang kita punya,-1
hidup ini adalah pilihan yang harus kamu pilih,hidup ini adalah pilih yang harus kamu pilih,1
tiap salam buat suami aku exo di korea paaak,tiap salam buat suami saya exo di korea pak,0
laa haha sorry2 akualah paham,lah tertawa maaf akua paham,-1
receeehh ah kamu,recehh ah kamu,-1
masalah pinjam lighter bang pinjam lighter jap ok light kena berdiri jap sedup satu pam kene hembus dlu sebab nak ucap,masalah pinjam lighter mas pinjam lighter jap ok terang kena diri jap dup satu pam kene hembus dulu sebab mau ucap,0
sekurang kurang nya rm100 kalau budak yang miskin kau nk suruh mcm mana minta sedekah ke lepastu bila tak cukup kau,kurang kurang nya rm kalau budak yang miskin kamu nk suruh macam mana minta sedekah ke lepastu bila tidak cukup kamu,-1
tidur tak buka kipas or aircond bcs takut the kitten sejuk nanti bangun approximately every 2 hours just sebab dia nangis l,tidur tidak buka kipas orang aircond bcs takut the kitten sejuk nanti bangun approximately every hours just sebab dia menang,0
if si keli tu boleh jadi femes apantah lagi aku kan kahkahkah,if sih keli itu boleh jadi femes apantah lagi saya kan kahkahkah,1
mau beli barang di shupe harganya sepuluh ribu tp ongkirnya 25ribu kesel banget deh wheres the justice tho aku jadi kayak be,mau beli barang di shupe harga puluh ribu tapi ongkirnya ribu kesal banget deh wheres the justice tho saya jadi seperti be,-1
aku masih butuh selang waktu untuk mengerjakan visualnya biar mampus kalian menunggu sampai 3 kali rasain p,saya masih butuh selang waktu untuk kerja visual supaya mampus kalian tunggu sampai kali rasai,-1
kok gitu sama aku,kok begitu sama saya,-1
